track_id,tempo,rms_mean,n_beats,centroid_mean,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
-NI_donlr6s,140.625,0.2512530982494354,1010,3388.5067305097864,-129.4711456298828,123.09678649902344,-24.069900512695312,41.72978973388672,-13.854072570800781,32.39783477783203,-5.783941745758057,16.170503616333008,-0.6006264686584473,8.194069862365723,4.5425591468811035,4.379083156585693,6.959972858428955
-Nm2VIYgIiM,117.1875,0.26386988162994385,682,3299.952955582227,-114.53094482421875,134.56187438964844,-21.499353408813477,34.57164001464844,-30.451797485351562,24.291566848754883,-15.232891082763672,12.20046329498291,-2.5502676963806152,5.191526412963867,-1.1663107872009277,1.3277472257614136,7.126498699188232
-OWN1jSLPFo,125.0,0.19412052631378174,842,3628.7243939042714,-146.7891845703125,112.39389038085938,-40.008934020996094,33.41918182373047,-31.944904327392578,24.972801208496094,-1.4500501155853271,12.399462699890137,6.0023651123046875,-3.3704540729522705,4.724371910095215,-8.075324058532715,1.7725862264633179
-Oeo6nyCUZk,133.92857142857142,0.17871752381324768,1000,3714.218094799728,-150.15072631835938,122.34564971923828,-25.6595401763916,53.85956573486328,-19.909343719482422,39.26827621459961,-5.651464939117432,17.934450149536133,0.5020176768302917,2.9709324836730957,8.676443099975586,-0.7236548066139221,10.521484375
-PzpmU4TFlY,125.0,0.22011695802211761,762,2127.0267345239417,-234.6053009033203,128.84396362304688,11.297080993652344,46.40556716918945,6.360797882080078,23.398883819580078,-3.5964648723602295,4.389646053314209,-4.260402679443359,4.879844665527344,3.3844830989837646,4.347049713134766,8.158441543579102
-Q91aDx8A2k,127.8409090909091,0.23287852108478546,853,3363.6431127685196,-105.97578430175781,132.34173583984375,-31.77320671081543,41.77356719970703,-19.3222599029541,23.765398025512695,-11.431623458862305,14.061548233032227,-3.2229201793670654,6.8006911277771,2.087287425994873,3.230842351913452,5.860964298248291
-_O_x-n7FLE,125.0,0.20610803365707397,958,4175.745153573694,-149.25320434570312,96.44132232666016,-6.844731330871582,57.90214157104492,-14.430429458618164,38.04463195800781,-6.922782897949219,28.493200302124023,-4.165657997131348,8.287104606628418,4.581868648529053,0.22165291011333466,6.348099231719971
-bGb9cghIPQ,125.0,0.21709665656089783,401,3342.9790711845526,-151.8557891845703,117.09266662597656,-12.731456756591797,54.67570114135742,-14.960089683532715,36.050941467285156,-10.073375701904297,14.80203628540039,-1.9032790660858154,4.245941162109375,2.3405933380126953,-2.265761375427246,10.267001152038574
-c1IKL9xmJM,125.0,0.2828194499015808,872,3246.049793655886,-172.70318603515625,112.14170837402344,-8.318501472473145,73.74837493896484,-9.05614185333252,41.643402099609375,-5.732083797454834,19.773334503173828,4.529410362243652,7.44758415222168,7.7768096923828125,1.0219625234603882,8.653079986572266
-cXMnZ2vrx8,130.8139534883721,0.10009773820638657,1056,3663.6951139206,-219.5970001220703,105.26966094970703,-34.68663024902344,59.75088119506836,-11.129225730895996,41.25347900390625,6.024082183837891,12.364567756652832,8.992923736572266,0.6987066864967346,12.378153800964355,-3.621145248413086,10.37308406829834
-eRirCwl1XM,86.53846153846153,0.2738212049007416,480,4012.3225636069883,-116.95708465576172,106.84314727783203,-8.236543655395508,61.786739349365234,-29.61990737915039,32.29558563232422,-6.304387092590332,20.612302780151367,-0.11192180216312408,8.719413757324219,-4.448100566864014,2.3367421627044678,4.449951648712158
